AuditName,ServerName,DatabaseName,ProcExists
Ahold,ahold.stg.sql.ccaintranet.com,AholdDPGroupDataTracker,0
Amazon,Amazon.stg.sql.ccaintranet.com,AmazonDpGroupDataTracker,1
BestBuy,BestBuy.etl.sql.ccaintranet.com,BestBuyDPGroupDataTracker,1
BestBuy Canada,BestBuy.etl.sql.ccaintranet.com,BestBuyCaDataTracker,0
CanadianTire,CanadianTire.stg.sql.ccaintranet.com,CanadianTireDpGroupDataTracker,0
Delhaize,Delhaize.stg.sql.ccaintranet.com,DelhaizeDPGroupTracker,1
HomeDepot,HomeDepot.stg.sql.ccaintranet.com,HomeDepotDataTracker,0
JCP,Jcp.stg.sql.ccaintranet.com,JcpDpGroupDataTracker,0
Kroger,kroger.stg.sql.ccaintranet.com,KrogerDataTracker,0
Loblaws,Loblaws.stg.sql.ccaintranet.com,LoblawsDpGroupDataTracker,1
Lowes,Lowes.stg.sql.ccaintranet.com,LowesDPGroupDataTracker,0
PetSmart,petsmart.stg.sql.ccaintranet.com,PetsmartDPGroupDataTracker,0
RiteAid,RiteAid.stg.sql.ccaintranet.com,RiteAidDPGroupTracker,0
Rona,Rona.stg.sql.ccaintranet.com,RonaDpGroupDataTracker,0
StaplesUS,staplesUS.stg.sql.ccaintranet.com,StaplesUSDpGroupLoadLogger,0
Wakefern,Wakefern.stg.sql.ccaintranet.com,WakefernDPGroupTracker,0
Walgreens,Walgreens.stg.sql.ccaintranet.com,WalgreensDpGroupDataTracker,0
Walmart,Walmart.stg.sql.ccaintranet.com,WMTDpGroupTracker,0
WalmartMX,WalmartMX.stg.sql.ccaintranet.com,WalmartMXDpGroupTracker,1
Ingles,ingles.stg.sql.ccaintranet.com,InglesDataTracker,0
GiantEagle,gianteagle.stg.sql.ccaintranet.com,GiantEagleDPGroupTracker,1
DSG,dsg.stg.sql.ccaintranet.com,DSGDataTracker,0
CVS,cvs.stg.sql.ccaintranet.com,CvsDPGroupTracker,1
ShoppersDrug,shoppersdrug.stg.sql.ccaintranet.com,ShoppersDPGroupTracker,0
Overwaitea,Overwaitea.stg.sql.ccaintranet.com,OverwaiteaDPGroupDataTracker,0
Meijer,meijer.etl.sql.ccaintranet.com,MeijerDPGroupTracker,0
AutoZoneMX,AutoZoneMx.stg.sql.ccaintranet.com,AutoZoneMXDpGroupTracker,0
