AuditName,AvgTAT(Mean)_,AvgTAT(Mean)_Adhoc,AvgTAT(Mean)_BiWeekly,AvgTAT(Mean)_Daily,AvgTAT(Mean)_Daily (Weekdays),AvgTAT(Mean)_Monthly,AvgTAT(Mean)_Periodic,AvgTAT(Mean)_Quarterly,AvgTAT(Mean)_SemiAnnual,AvgTAT(Mean)_Weekly,AvgTAT(Mean)_Weekly (Sunday),AvgTAT(Mean)_Yearly,TATMedian_,TATMedian_Adhoc,TATMedian_BiWeekly,TATMedian_Daily,TATMedian_Daily (Weekdays),TATMedian_Monthly,TATMedian_Periodic,TATMedian_Quarterly,TATMedian_SemiAnnual,TATMedian_Weekly,TATMedian_Weekly (Sunday),TATMedian_Yearly
Ahold,,,,0.2083,,,,,,0.125,,,,,,0.0417,,,,,,0.1667,,
Amazon,,19.0417,,,,1.5,,,,,,,,18.7083,,,,1.2083,,,,,,
BestBuy,,,,,,2.0,,,,,,,,,,,,1.6667,,,,,,
CVS,,,,0.875,,12.9583,,,,4.2917,,,,,,0.875,,12.9583,,,,4.5833,,
CanadianTire,,,,1.8333,,7.7083,,,,1.5833,,,,,,1.4583,,10.0,,,,1.25,,
DSG,,,,,,,,,,2.0833,,3.9167,,,,,,,,,,1.0417,,3.9167
Delhaize,,0.4167,,1.0,,0.2917,,,,2.125,,,,0.3333,,0.625,,0.2083,,,,0.25,,
GiantEagle,,,,,,5.375,,,,0.0417,,,,,,,,0.7083,,,,0.0417,,
HomeDepot,2.1667,,,,13.2083,,,,,,2.6667,,1.7083,,,,13.3333,,,,,,0.9167,
Ingles,,,,,,,,,,2.4167,,,,,,,,,,,,2.4167,,
JCP,,,,0.4583,,7.5417,,,,0.75,,,,,,0.5,,8.0833,,,,0.25,,
Kroger,,,,1.0,,,1.5,,,0.7917,,,,,,0.8333,,,0.5417,,,0.7083,,
Loblaws,,2.25,,0.6667,,1.3333,,,,2.625,,,,2.5,,0.6667,,0.9583,,,,1.2917,,
Lowes,,,,,,1.25,,,,1.6667,,,,,,,,1.6667,,,,1.1667,,
Overwaitea,,,,,,,,,,6.9167,,,,,,,,,,,,3.7083,,
PetSmart,,,,,,,,,,0.375,,,,,,,,,,,,0.2083,,
RiteAid,,,,,,0.1667,,3.9167,,0.7083,,,,,,,,0.0417,,3.9167,,0.7083,,
Wakefern,,,,,,5.4583,,,4.625,1.4167,,,,,,,,5.4583,,,3.75,1.4167,,
Walgreens,,2.5417,,0.7083,,1.75,,,,14.9583,,,,0.5,,0.7917,,1.0417,,,,4.25,,
Walmart,,,,0.0833,,0.1667,,,,0.0417,,,,,,0.0833,,0.1667,,,,0.0833,,
WalmartMX,,,1.0833,2.0,,2.9583,,,,1.8333,,,,,1.0833,1.9583,,1.6667,,,,1.6667,,
