AuditName,,Adhoc,BiWeekly,Daily,Daily (Weekdays),Monthly,Periodic,Quarterly,SemiAnnual,Weekly,Weekly (Sunday),Yearly
Ahold,,,,0.2083,,,,,,0.125,,
Amazon,,19.0417,,,,1.5,,,,,,
BestBuy,,,,,,2.0,,,,,,
CVS,,,,0.875,,12.9583,,,,4.2917,,
CanadianTire,,,,1.8333,,7.7083,,,,1.5833,,
DSG,,,,,,,,,,2.0833,,3.9167
Delhaize,,0.4167,,1.0,,0.2917,,,,2.125,,
GiantEagle,,,,,,5.375,,,,0.0417,,
HomeDepot,2.1667,,,,13.2083,,,,,,2.6667,
Ingles,,,,,,,,,,2.4167,,
JCP,,,,0.4583,,7.5417,,,,0.75,,
Kroger,,,,1.0,,,1.5,,,0.7917,,
Loblaws,,2.25,,0.6667,,1.3333,,,,2.625,,
Lowes,,,,,,1.25,,,,1.6667,,
Overwaitea,,,,,,,,,,6.9167,,
PetSmart,,,,,,,,,,0.375,,
RiteAid,,,,,,0.1667,,3.9167,,0.7083,,
Wakefern,,,,,,5.4583,,,4.625,1.4167,,
Walgreens,,2.5417,,0.7083,,1.75,,,,14.9583,,
Walmart,,,,0.0833,,0.1667,,,,0.0417,,
WalmartMX,,,1.0833,2.0,,2.9583,,,,1.8333,,
